,quote_date,expiration_C,strike,option_type_C,bid_1545_C,ask_1545_C,expiration_P,option_type_P,bid_1545_P,ask_1545_P,date,rate,implied_S_x,moneyness,implied_S_y
73,2018-01-12,2018-02-09,6790.0,C,77.4,83.3,2018-02-09,P,107.5,115.2,2018-01-12,0.0131,6751.639706898132,-38.36029310186768,6751.2330665040345
74,2018-01-12,2018-02-09,6800.0,C,72.5,78.6,2018-02-09,P,113.1,120.2,2018-01-12,0.0131,6751.528866996658,-48.4711330033424,6751.2330665040345
75,2018-01-12,2018-02-09,6810.0,C,67.7,73.9,2018-02-09,P,118.3,125.4,2018-01-12,0.0131,6751.568027095182,-58.431972904818394,6751.2330665040345
76,2018-01-12,2018-02-09,6820.0,C,63.3,69.4,2018-02-09,P,123.6,130.8,2018-01-12,0.0131,6751.757187193706,-68.24281280629384,6751.2330665040345
77,2018-01-12,2018-02-09,6825.0,C,61.0,66.7,2018-02-09,P,126.4,133.7,2018-01-12,0.0131,6751.401767242968,-73.59823275703184,6751.2330665040345
78,2018-01-12,2018-02-09,6830.0,C,59.1,64.7,2018-02-09,P,129.2,136.5,2018-01-12,0.0131,6751.64634729223,-78.35365270777038,6751.2330665040345
79,2018-01-12,2018-02-09,6840.0,C,54.7,60.4,2018-02-09,P,134.8,142.8,2018-01-12,0.0131,6751.335507390755,-88.66449260924492,6751.2330665040345
80,2018-01-12,2018-02-09,6850.0,C,50.9,56.4,2018-02-09,P,140.8,148.5,2018-01-12,0.0131,6751.57466748928,-98.42533251072018,6751.2330665040345
81,2018-01-12,2018-02-09,6860.0,C,48.4,51.6,2018-02-09,P,146.9,154.8,2018-01-12,0.0131,6751.713827587803,-108.28617241219672,6751.2330665040345
82,2018-01-12,2018-02-09,6870.0,C,44.8,48.0,2018-02-09,P,153.3,161.7,2018-01-12,0.0131,6751.452987686328,-118.54701231367198,6751.2330665040345
83,2018-01-12,2018-02-09,6875.0,C,43.1,46.3,2018-02-09,P,156.3,164.4,2018-01-12,0.0131,6751.89756773559,-123.1024322644098,6751.2330665040345
84,2018-01-12,2018-02-09,6880.0,C,41.6,44.6,2018-02-09,P,159.7,168.0,2018-01-12,0.0131,6751.792147784853,-128.2078522151469,6751.2330665040345
85,2018-01-12,2018-02-09,6890.0,C,38.3,41.4,2018-02-09,P,166.6,175.1,2018-01-12,0.0131,6751.531307883378,-138.46869211662215,6751.2330665040345
86,2018-01-12,2018-02-09,6900.0,C,35.3,38.4,2018-02-09,P,173.3,182.0,2018-01-12,0.0131,6751.720467981902,-148.2795320180976,6751.2330665040345
87,2018-01-12,2018-02-09,6910.0,C,32.4,35.5,2018-02-09,P,180.3,189.1,2018-01-12,0.0131,6751.759628080426,-158.2403719195736,6751.2330665040345
88,2018-01-12,2018-02-09,6920.0,C,29.6,32.8,2018-02-09,P,187.5,196.4,2018-01-12,0.0131,6751.748788178951,-168.25121182104886,6751.2330665040345
89,2018-01-12,2018-02-09,6925.0,C,28.3,31.6,2018-02-09,P,192.5,200.1,2018-01-12,0.0131,6751.143368228213,-173.85663177178685,6751.2330665040345
90,2018-01-12,2018-02-09,6930.0,C,27.1,30.3,2018-02-09,P,195.0,203.9,2018-01-12,0.0131,6751.737948277475,-178.26205172252503,6751.2330665040345
91,2018-01-12,2018-02-09,6940.0,C,24.9,28.0,2018-02-09,P,202.9,211.8,2018-01-12,0.0131,6751.577108375999,-188.42289162400084,6751.2330665040345
92,2018-01-12,2018-02-09,6950.0,C,22.8,25.6,2018-02-09,P,210.2,219.8,2018-01-12,0.0131,6751.666268474524,-198.33373152547574,6751.2330665040345
93,2018-01-12,2018-02-09,6960.0,C,20.8,23.5,2018-02-09,P,218.1,227.9,2018-01-12,0.0131,6751.605428573049,-208.3945714269512,6751.2330665040345
94,2018-01-12,2018-02-09,6970.0,C,18.6,21.7,2018-02-09,P,226.0,235.9,2018-01-12,0.0131,6751.644588671573,-218.35541132842718,6751.2330665040345
95,2018-01-12,2018-02-09,6975.0,C,18.0,20.8,2018-02-09,P,230.3,239.6,2018-01-12,0.0131,6751.889168720835,-223.1108312791648,6751.2330665040345
